event_date,year,event,strike_by,target,state,region,district,location,latitude,longitude,source,notes,fatalities,civilian_casualties,
5-Jun-17,2017,Remote violence,Unknown,Al Shabaab,Jubaland,Jubbada Hoose,Afmadow,Dhobley,0.4063,41.0124,Local Source Project,Unknown warplanes conducted an airstrike against al Shabaab bases located at Weel - Burad grazing area (c. 27 km South East of Dhobley). Heavy explosion sounds and engines revving were heard from South East of Dhobley town. Casualties could not be established at the time of reporting due to lack of communication around the area.,0,0,
4-Jun-17,2017,Battle-No change of territory,United States Forces,Al Shabaab,Jubaland,Jubbada Hoose,Afmadow,Weel Maro,0.4754,42.3015,Local Source Project,"Early AM, Welmaro, Lower Jubba: US warplanes conducted an airstrike to support a Somali ground intervention against an al Shabaab training camp. Causalities, in both the airstrike and the land excursion are not known.",0,0,
3-Jun-17,2017,Remote violence,Unknown,Al Shabaab,Jubaland,Jubbada Hoose,Afmadow,Dhobley,0.4063,41.0124,Local Source Project,Unknown war planes (sources suspect the US was responsible for an airstrike at nearby Weel Maro the following day) conducted an airstrike against al Shabaab locations at Bilbil and Galbse nomadic settlements area (c. 65 km South East of Dhobley). An unspecified number of al Shabaab fighters were killed and injured as the result of the attack.,10,0,
22-May-17,2017,Remote violence,Unknown,Al Shabaab,Jubaland,Gedo,Garbahaarey,Ceel Cadde,3.0359,41.8674,Local Source Project,"22 May, c. 1330 hrs.: Unidentified warplanes conducted an airstrike against an al Shabaab position near Ceel Cadde village (c. 60 km South West of Garbaharey). Resulting causalities not known.",0,0,
13-May-17,2017,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Garbahaarey,Karbis,3.5172,42.2341,Local Source Project,"Early AM, Kedis, Gedo: suspected Kenya Defence Force (KDF) fighter jets conducted an airstrike against suspected al Shabaab positions near Kedis. Senior al Shabaab members were reported to be present at the location during the airstrike. A senior AS member was killed in the attack. Additional casualties could not be established at the time of reporting.",1,0,
12-May-17,2017,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Ceel Waaq,Ceel Waaq,2.7352,41.0177,Partner Database,Kenya air forces strike al Shabaab locations at Ceeq Waaq and Baardheere. Causality figures not known.,0,0,
12-May-17,2017,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Bardera,Baardheere,2.3399,42.286,Partner Database,Kenya air forces strike al Shabaab locations at Ceeq Waaq and Baardheere. Causality figures not known.,0,0,
9-May-17,2017,Remote violence,Unknown,Al Shabaab,South West,Bay,Baydhabo,Buulo Batako,2.9911,43.4961,Local Source Project,"09 May, c. 1130 hrs. Unidentified warplanes carried out an airstrike against al Shabaab fighters concentrated near Bulo Barako village (c. 35 km South West of Baidoa). Five AS vehicles were destroyed in the airstrike. Casualties could not be established at the time of reporting.",0,0,
29-Apr-17,2017,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Ceel Waaq,Ceel Waaq,2.7352,41.0177,Local Source Project,KDF warplane conducted airstrike at Bududha grazing area (approx. 20 km E of Ceel Waaq town). Report indicate that the area was an al Shabaab hideout. Resulting causality figures not known.,0,0,
27-Apr-17,2017,Remote violence,Unknown,Al Shabaab,South West,Bay,Baydhabo,War-Gaduud,2.9786,43.7021,Shabelle Media Network (Mogadishu),Several' al Shabaab are killed in an airstrike that took place 'in the last few hours.' Air force country of origin not known.,10,0,
26-Apr-17,2017,Remote violence,Kenya Defence Forces,Al Shabaab,South West,Bay,Baydhabo,War-Gaduud,2.9786,43.7021,Local Source Project,"Kenyan warplanes conducted airstrikes targeting al Shabaab fighters at Wargadud grazing area (c. 35 KM West of Garbaharey town). Causalities not known. Reports indicated that additional airstrikes were conducted the following day, during the early morning hours.",0,0,
20-Apr-17,2017,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Bardera,Baardheere,2.3399,42.286,Local Source Project,"Early AM, Gedo region: Kenya Defence Force (KDF) fighter jets conducted an airstrike against a suspected al Shabaab position in Gedo region. Three civilians collaterally killed.",3,0,
20-Apr-17,2017,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Jubbada Hoose,Afmadow,Hosingow,-0.1734,41.2695,Local Source Project,Initial reports stated that KDF conducted an airstrike targeting al Shabaab training camp at Qabaa (c. 30 km East of Hosingo). An unconfirmed number of AS fighters were reported killed and the airstrike caused major destruction of the camp. It was confirmed that there was an AS training camp at the targeted location. AS fighters restricted access of the location to locals.,10,0,
15-Apr-17,2017,Remote violence,United States Forces,Al Shabaab,South West,Bay,Baydhabo,War-Gaduud,2.9786,43.7021,Xinhua,"More than 100 al Shabaab, including 20 commanders are killed in a US airstrike at Ceel Adde and War-Gaduud. Among the senior Al-Shabaab commanders killed are Abdirahman Fillow and Abdirahman Ben Dutie.",50,0,
15-Apr-17,2017,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Garbahaarey,Urgud,2.6404,42.3057,Local Source Project; Partner Database,"Early AM, Urgud, Gedo: Kenya Defence Force (KDF) aircraft conducted an airstrike against al Shabaab-positions near Urgud location. Causalities not reported.",0,0,
15-Apr-17,2017,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Wanla Weyn,Ceel Adde,3.2307,44.7709,Xinhua,"More than 100 al Shabaab, including 20 commanders are killed in a US airstrike at Ceel Adde and War-Gaduud. Among the senior Al-Shabaab commanders killed are Abdirahman Fillow and Abdirahman Ben Dutie.",50,0,
13-Apr-17,2017,Remote violence,Kenya Defence Forces,Al Shabaab,South West,Bay,Baydhabo,War-Gaduud,2.9786,43.7021,Local Source Project,KDF carried out airstrikes against al Shabaab positions at Alwiyle and Wargadud villages (c. 10 km South West and c. 15 km West of Ceel Cadde village respectively). Casualties and damage from the attack could not be established at the time of reporting.,0,0,
13-Apr-17,2017,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Garbahaarey,Ceel Cadde,3.0359,41.8674,Local Source Project,KDF carried out airstrikes against al Shabaab positions at Alwiyle and Wargadud villages (c. 10 km South West and c. 15 km West of Ceel Cadde village respectively). Casualties and damage from the attack could not be established at the time of reporting.,0,0,
12-Apr-17,2017,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Kismayo,-0.3603,42.5463,Local Source Project,"Early AM, Kismayo district, Lower Jubba: Kenya Defence Force (KDF) aircraft conducted an airstrike against an al Shabaab camp in the vicinity of Kismayo at Kanjaron. Causalities not known. Conflicting, Shabelle Network believes the airstrike may have been carried out by the United States.",0,0,
11-Apr-17,2017,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Bardera,Siidimo,2.4486,41.9692,Local Source Project,"KDF warplanes carried out airstrikes against al Shabaab fighters at Wagudo village (c. 70 km West of Baardheere town and c. 10 km West of Siidimo village). Two al Shabaab vehicles were destroyed and ""a number"" of al Shabaab members were killed in the airstrike.",10,0,
2-Apr-17,2017,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Dhexe,Jilib,Jilib,0.4833,42.7666,Local Source Project; PartnerDatabase,US air forces strike an al Shabaab location at Jilib. Causalities not known.,0,0,
11-Mar-17,2017,Remote violence,United States Forces,Al Shabaab,Jubaland,Gedo,Bardera,Daar,2.5799,42.3015,Partner Database,US air forces strike an al Shabaab location at Daar. Causalities not known.,0,0,
1-Mar-17,2017,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Garbahaarey,Ceel Cadde,3.0359,41.8674,Local Source Project,KDF warplanes hit an al Shabaab convoy that was headed to fetch water from a borehole in Ceel Cade Village (c. 88 km South East of Belethawa town). The convoy of two water tankers and two Toyota land-cruiser pickups transporting unknown numbers of al Shabaab fighter were destroyed. Causalities not reported.,0,0,
28-Jan-17,2017,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Jubbada Hoose,Afmadow,Hosingow,-0.1734,41.2695,Partner Database/Social Media,"KDF conducted air strikes on an al Shabaab base at Showla Mareer, near Hosingow. Causalities unknown.",0,0,
19-Jan-17,2017,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Warmahan,2.3963,45.0159,Shabelle Media Network (Mogadishu),Suspected US warplanes bombed al Shabaab locations at Warmahan and Tihsile areas on 19/01. Still there are no confirmed reports of the damage caused.,0,0,
19-Jan-17,2017,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Tixsiile,2.25,45.0833,Shabelle Media Network (Mogadishu),Suspected US warplanes bombed al Shabaab locations at Warmahan and Tihsile areas on 19/01. Still there are no confirmed reports of the damage caused.,0,0,
15-Jan-17,2017,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Ceel Waaq,Nus Dariiq,3.283,41.5085,Local Source Project,"KDF conducted air strikes on an al Shabaab base at Nusdarrig, near Ceel Waaq. casualty not known.",0,0,
8-Jan-17,2017,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Kismayo,-0.3603,42.5463,Shabelle Media Network (Mogadishu),"Five killed and scores wounded in suspected US airstrikes at Singaleer and Tuulo Kuusow, about 30Km north of Kismayo on 08/01. Jubaland forces had cleared Singaleer on 06/01. The attacks may have struck remnants.",5,0,
7-Jan-17,2017,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Buulo Gaduud,-0.074,42.5719,Partner Database/OSINT,US forces air strike an al Shabaab position. No confirmed causalities.,0,0,
31-Dec-16,2016,Remote violence,Unknown,Al Shabaab,South West,Shabeellaha Hoose,Marka,Golweyn,1.6584,44.58,Local Source Project,It is reported that an unknown airplane conducted airstrikes on AS base in in Gol Weyn (22km SW of Marka) on 31/12. Number of casualties from the incident is not known.,0,0,
26-Dec-16,2016,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Kismayo,-0.3603,42.5463,Local Source Project,"Suspected Kenyan war planes conducted repeated air strikes against an AS base in the outskirts of Kamjiroon Village (approx. 85km NW of Kismaayo) in the afternoon of 26/12. The planes destroyed the AS base and killed unknown number of AS fighters, as area residents report.",10,0,
25-Dec-16,2016,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Marka,Marka,1.7131,44.7639,Local Source Project,Two suspected US warplanes carried out airstrikes at Waaya Arag settlement (approx. 10km NW of Marka) in the night 25/12. The airstrike was followed by a brief armed clash between AS guards and joint forces of SNA and foreign soldiers who shortly after the strike. The number of casualties remain unknown.,0,0,
25-Dec-16,2016,Battle-No change of territory,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Marka,Marka,1.7131,44.7639,Local Source Project,Two suspected US warplanes carried out airstrikes at Waaya Arag settlement (approx. 10km NW of Marka) in the night 25/12. The airstrike was followed by a brief armed clash between AS guards and joint forces of SNA and foreign soldiers who shortly after the strike. The number of casualties remain unknown.,0,0,
8-Dec-16,2016,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Dhexe,Jilib,Mansoura,0.5587,42.7077,Local Source Project; PartnerDatabase,Suspected US war planes conducted several air strikes on Mansoura village (10km NW of Jilib town) in the morning of 07/12. The planes destroyed the AS base in the village. Locals report that at least one senior AS official was killed in the attack.,1,0,
7-Dec-16,2016,Remote violence,United States Forces,Islamic State (Somalia),Puntland,Bari,Qandala,Qandala,11.471,49.8726,Partner Database/OSINT,US forces carry out an air strike against Islamic State in or near Qandala. Causalities unknown. Actor 2 may be mistaken; many analysists believe the US did not engage IS forces in Somalia until November 2017.,0,0,
6-Dec-16,2016,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Wanla Weyn,Duduble,2.3443,44.9481,Partner Database/Social Media,US forces launch an air strike against an al Shabaab location at Duduble. Unknown outcome.,0,0,
5-Dec-16,2016,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Tortoroow,2.2524,44.6905,Dalsan Radio (Mogadishu),"Somali commandos unity backed by US Special Forces in helicopters bombed al Shabaab bases at Omar Beere location, near Tortoroow, in Lower Shabelle region during the overnight hours. It is not immediately clear the damages caused by the strike. Following the strike, several al Shabaab commanders were captured by Somali land forces who raided the area.",0,0,
5-Dec-16,2016,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Ibraahim Madkeey,2.2462,44.8025,Local Source Project,"Unidentified drones, thought to be American owned, struck an AS military camp in Ibraahim Madkeey village (36km NW of Afgooye) in the evening of 05/12. The exact number of AS casualties from the airstrike is not known",0,0,
15-Nov-16,2016,Remote violence,Unknown,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Laantabuur,2.0537,45.0548,Local Source Project,"Unidentified drones bombed suspected AS camps in God- Kabash area, South of Laanta Buur village (11km SW of Afgooye) in the afternoon of 15/11. Locals from Laanta Buur village report that they heard about 18 strikes. The number of casualties could not be established.",0,0,
15-Nov-16,2016,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Luglaaw,-0.2037,42.6044,Shabelle Media Network (Mogadishu),Suspected Kenyan Air Force jets have carried out an airstrike on al-Shabaab training camps at Luglaaw (Laan-Goori). Four deaths reported.,4,0,
10-Nov-16,2016,Remote violence,Unknown,Al Shabaab,Jubaland,Jubbada Dhexe,Buaale,Buaale,1.2448,42.5732,Shabelle Media Network (Mogadishu),Unidentified warplanes have bombed al-Shabaab bases in the outskirts of southern Somalia town of Buale. Causalities not known.,0,0,
9-Nov-16,2016,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Jubbada Dhexe,Buaale,Buaale,1.2448,42.5732,Dalsan Radio (Mogadishu),Suspected Kenyan fighter jets have conducted an airstrike on al Shabaab locations in Buaale District. Causalities not known.,0,0,
2-Nov-16,2016,Remote violence,Unknown,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Yumbis,2.1127,44.9299,Local Source Project,Unidentified warplanes conducted airstrikes at al Shabaab positions in Yumbis settlement. Causalities not known.,0,0,
1-Nov-16,2016,Remote violence,Unknown,Islamic State (Somalia),Puntland,Bari,Qandala,Qandala,11.471,49.8726,Local Source Project,"Unidentified helicopters conducted air strikes against ISIL locations on Karimo, near Qandala. Casualties not reported.",0,0,
30-Oct-16,2016,Remote violence,AMISOM,Al Shabaab,Jubaland,Jubbada Dhexe,Jilib,Malenda,0.747,42.669,Shabelle Media Network (Mogadishu),"Suspected Kenya military jets have conducted an airstrike in southern Somalia, targeting an Al Shabaab training camp in Malenda. According to reports ""several"" were killed in the airstrike.",10,0,
28-Oct-16,2016,Battle-No change of territory,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Bardera,Baardheere,2.3399,42.286,Shabelle Media Network (Mogadishu),At least four Somali soldiers have died during fighting with al-Shabaab near the southwestern town of Baardheere. (Al Shabaab fighters reported dead over three days of fighting) The fighting began following an aerial bombardment from Kenyan forces at nearby Ali Hared. Causalities from the air strike not known.,8,0,
16-Oct-16,2016,Remote violence,United States Forces,Al Shabaab,Puntland,Bari,Bossaso,Galgala,10.9901,49.0568,Local Source Project,It is reported that an American drone did airstrikes in the al-Shabaab strongholds of Al-Madow Mountains on 16/10. Causalities not known.,0,0,
1-Oct-16,2016,Remote violence,United States Forces,Al Shabaab,Jubaland,Gedo,Bardera,Birta-dheer,1.9881,42.3853,Shabelle Media Network,"US warplanes have hit several al-Shabaab military bases in southern Somalia village of Birta Dheer. According to an American report, the air raid killed ""a number"" of fighters. Others injured.",10,0,
28-Sep-16,2016,Remote violence,United States Forces,Unidentified Group,Galmudug,Mudug,Gaalkacyo,Gaalkacyo,6.7692,47.4306,Dalsan Radio (Mogadishu),"A US air strike targeting al Shabaab mistakenly strikes local militia. Ten deaths reported, three wounded.",10,0,
27-Sep-16,2016,Remote violence,United States Forces,Al Shabaab,Galmudug,Mudug,Gaalkacyo,Jeexdin,6.8476,47.5447,Local Source Project,Anti-al Shabaab forces - later confirmed to be American after Pentagon comment - carried out an air strike on a al Shabaab location in Jeexdin. Nine al Shabaab dead. The date of the attack is not entirely known; likely either 27/09 or 28/09.,9,0,
25-Sep-16,2016,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Kismayo,-0.3603,42.5463,Associated Press,"US forces launch an air strike on al Shabaab elements outside of Kismayo, killing a commander and four bodyguards.",5,0,
22-Sep-16,2016,Remote violence,Unknown,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Tortoroow,2.2524,44.6905,Shabelle Media Network,"Unidentified warplanes attack al Shabaab positions in Toorotoorow, Causalities not known.",0,0,
18-Sep-16,2016,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Ceel Waaq,Ceel Waaq,2.7352,41.0177,Local Source Project,"Kenyan air forces conducted air strikes on Damase village, near Ceel Waaq. No causalities reported.",0,0,
17-Sep-16,2016,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Jubbada Hoose,Afmadow,Qalawiley,0.7951,42.098,Local Source Project,KDF military planes attacked al Shabaab positions at Qalwiley. Casualties not known.,0,0,
7-Sep-16,2016,Battle-No change of territory,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Qoryooley,Qoryooley,1.7859,44.5313,Shabelle Media Network,"Somali forces backed by foreign forces (unknown identity, though it stands to reason they were American as a similar raid was carried out on nearby Toorotoorow by their air forces the previous day) and warplanes have attacked al-Shabab military bases near southern town of Qoryooley. ""[Losses] inflicted.""",10,0,
5-Sep-16,2016,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Tortoroow,2.2524,44.6905,AFRICOM (Drone),"US forces conduct an air strike at Tortoroow, four deaths reported.",4,0,
31-Aug-16,2016,Remote violence,Unknown,Al Shabaab,Jubaland,Jubbada Dhexe,Jilib,Jilib,0.4833,42.7666,Somali Midnimo,"A senior al-Shabaab commander, Mohamed Mahir Ahmed, is killed in an airstrike from unknown origin the night of 01/09 on the groups military camp in southern Somalia town of Jilib. It is not clear if others were killed or wounded in the strike.",1,0,
30-Aug-16,2016,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Wanla Weyn,Gobanle,3.1227,44.7656,U.S. Africa Command (Drone),"A U.S. Africa Command press release stated U.S. forces conducted a strike against al-Shabaab near Gobanale, Somalia. Two deaths reported. The target of the strike is not known.",2,0,
1-Aug-16,2016,Remote violence,Unknown,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Kismayo,-0.3603,42.5463,Local Source Project,"""Anti-al Shabaab"" war planes struck al Shabaab targets in Golool Shibir, near Kismayo. Casualties not known.",0,0,
25-Jul-16,2016,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Garbahaarey,Ceel Cadde,3.0359,41.8674,Shabelle Media Network (Mogadishu),Kenyan air forces launch strikes on al Shabaab locations on Ceel Cadde. Casualties not known.,0,0,
21-Jul-16,2016,Battle-Government regains territory,United States Forces,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Buulo Gaduud,-0.074,42.5719,Hiiraan,"Somali government and Jubbaland troops, backed by US air support, have carried out an attack on al-Shabab base in the village of Buulo Gaduud. The combined force conducted a frontal attack on Buulo Guduud as US planes bombed the groups positions. After a pitched battle, the combined force captured the village from al-Shabab. ""Massive"" al Shabaab casualties reported.",10,0,
30-Jun-16,2016,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Belet Xaawo,Belet Xaawo,3.7807,41.8943,Shabelle Media Network,"Kenyan Air Forces carry out strikes on an al Shabaab position Belet Xaawo in response to an attack in Lamu, Kenya. The strikes killed ""militants and civilians.""",10,0,
29-Jun-16,2016,Remote violence,Unknown,Al Shabaab,Hirshabelle,Shabeellaha Dhexe,Jowhar,Mahadaay,2.9704,45.5347,Shabelle Media Network,Unknown foreign military warplanes have carried out an airstrike on Al Shabaab controlled area of Mahadaay. The bombardment killed an unknown number of pastoralists and their livestock.,10,0,
28-Jun-16,2016,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Garbahaarey,Garbahaarey,3.328,42.2199,Shabelle Media Network,KDF jets strike al Shabaab locations (not named) in Gedo region killing 40.,40,0,
22-Jun-16,2016,Remote violence,Kenya Defence Forces,Unidentified Group,Jubaland,Gedo,Ceel Waaq,Ceel Waaq,2.7352,41.0177,Raxanreeb,"While pursuing al Shabaab in Gedo region, Kenyan forces air forces strike Ilaale location, near Ceel Waaq, killing four children. No reported combatant dead.",4,1,
11-Jun-16,2016,Remote violence,Unknown,Al Shabaab,Jubaland,Jubbada Hoose,Afmadow,Weel Maro,0.4754,42.3015,Shabelle Media Network,"Unknown warplanes have hit al-Shabaab bases in Weelmarow area, 30 kms outside the southern Somali town of Afmadow. Sources close to al-Shabab conform the attack but declined to mention the casualties caused by the aerial attack.",0,0,
10-Jun-16,2016,Remote violence,Unknown,Al Shabaab,Jubaland,Jubbada Dhexe,Jilib,Hargeysa Yare,0.4474,42.7033,Local Source Project,"On 10 June, unknown war planes reportedly conducted airstrikes against suspected al Shabaab positions in Hargeysa Yerey Village. Casualties or other information could not be determined.",0,0,
9-Jun-16,2016,Remote violence,Unknown,Al Shabaab,Puntland,Bari,Bossaso,Galgala,10.9901,49.0568,Local Source Project,"On the 9 June, anti-AS forces conducted airstrikes in the Almadow and Galgala Mountain areas. The operation was confirmed by Puntland Officials and reportedly an unspecified number of al Shabaab fighters were killed.",10,0,
1-Jun-16,2016,Remote violence,Unknown,Al Shabaab,South West,Shabeellaha Hoose,Baraawe,Baraawe,1.1132,44.0297,Local Source Project,"Government and ""anti-AS"" forces carried out an air strike in Kunya Barow, killing an al Shabaab commander.",1,0,
27-May-16,2016,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Marka,Marka,1.7131,44.7639,AP,"The Pentagon on 01/06 announced that a U.S. drone strike on 27/05 had targeted a senior military commander of al-Shabab in ""south-central Somalia,"" (speculated as in Shabeelaha Hoose)Abdullahi Haji Daud. U.S. officials later confirmed he was killed.",1,0,
24-May-16,2016,Remote violence,Unknown,Al Shabaab,Jubaland,Jubbada Dhexe,Jilib,Berhani,0.7,43.1,Local Source Project,Unspecified warplanes bombed al Shabaab targets in Berhani Village (c. 45 km North West of Kismayo town). Casualties not known.,0,0,
16-May-16,2016,Battle-Government regains territory,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Bariirre,2.0476,44.8975,Local Source Project,"Somalia's Special Commandos (Danab) and AMISOM Forces, supported a raid of an al Shabaab base in Bariire (27km SW of Afgooye) by American forces in the morning of 16/05. The allied forces were reportedly using helicopters to drop the troops at K50 in a nearby village and heavy fighting ensued. Local residents confirmed that SNA Commandos entered the town while al Shabaab fighters pulled out. Suspected American helicopters conducted an airstrike against retreating al Shabaab fighters. Somalia Army officials said that they released prisoners from the village and captured several al Shabaab fighters. The joint forces reportedly stayed two hours, then left. The exact reasons behind the raid are unclear. The number of casualties remains unknown.",0,0,
15-May-16,2016,Remote violence,Unknown,Al Shabaab,Jubaland,Jubbada Hoose,Jamaame,Kamsuuma,0.2494,42.7751,Local Source Project,Unknown war planes conducted an airstrike targeting an al Shabaab base near Kamsuma Village (20km NE of Jamaame) in the night of 15/05. The airstrike reportedly killed 7 al Shabaab fighters and injured an unknown number of other fighters. According to local sources the base was completely destroyed.,7,0,
13-May-16,2016,Remote violence,Unknown,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Afgooye,2.15,45.116,Radio Mustaqbal,"Unidentified warplanes bomb an al Shabaab base near Afgooye on the evening of 13/05, no reported dead.",0,0,
22-Apr-16,2016,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Abdale Birole,-0.4906,42.1969,Shabelle Media Network,"Kenyan air forces launch attacks on al Shabaab locations at Behani and Abdalla Birole, both near Kismayo, on the evening on 22/04. Casualties not known. There was no immediate verification of the casualties on al Shabaab, but the Jubbaland commander says senior militant leaders were targeted in the airstrike.",0,0,
16-Apr-16,2016,Remote violence,Unknown,Al Shabaab,Jubaland,Gedo,Garbahaarey,Ceel Cadde,3.0359,41.8674,Local Source Project,"Anti al Shabaab drones from an unreported origin conducted an air bombardment against al Shaabab military vehicles in Ceel Cadde village (55km SW of Garbaharey town) in the afternoon of 16/04. Community sources indicate that an unknown number of high-ranking al Shabaab officials were injured and/or killed in the air strike operation, and three al Shabaab vehicles were destroyed.",10,0,
12-Apr-16,2016,Remote violence,Unknown,Unidentified Group,South West,Shabeellaha Hoose,Qoryooley,Jasiira,1.784,44.5427,Local Source Project,"A drone strike of unknown origin targeted Jasiira Village (2km E of Qoryooley) in the afternoon of 12/04. At the time of writing all information regarding this incident remained sketchy. Local residents, however, reported at least two missiles hit the area. Casualties could not be established. The targets of the strikes were not reported.",0,1,
12-Apr-16,2016,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Kismayo,-0.3603,42.5463,Agence France Presse,United States forces launch a pair of drone strikes on al Shabaab locations near Kismayo on 11/04 and 12/04. Twelve reported dead over the two days.,6,0,
11-Apr-16,2016,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Kismayo,-0.3603,42.5463,Agence France Presse,United States forces launch a pair of drone strikes on al Shabaab locations near Kismayo on 11/04 and 12/04. Twelve reported dead over the two days.,6,0,
11-Apr-16,2016,Remote violence,Unknown,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Yoontoy Yarey,-0.1302,42.5743,Local Source Project,"Unknown war planes conducted several air strikes against an al Shabaab base close to Yoontoy Yarey Village (25km NE of Kismaayo) in the night of 11/04. At least six al Shabaab fighters were killed while others were injured and the targeted base was destroyed. Reports indicate that the head of al Shabaab military in Jamaame district, Abu Hashim Ibnu Osman (Dir/Biyamal) was killed in the airstrike.",6,0,
8-Apr-16,2016,Remote violence,Unknown,Al Shabaab,Jubaland,Jubbada Hoose,Jamaame,Kamsuuma,0.2494,42.7751,Local Source Project,Unknown helicopters carried out air strikes against an al Shabaab location in Kamsuuma Village (20km NE of Jamaame) on 08/04. No damage or human casualties were reported. According to rumour the airstrikes targeted an al Shabaab senior commander.,0,0,
8-Apr-16,2016,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Dhexe,Jilib,Jilib,0.4833,42.7666,Goobjoog,"Suspected US drones attack al Shabaab locations in Jilib on 08/04. Reports indicate that the airstrikes completely destroyed a police station in the town, where several al-Shabab members were at the time, though no specific numbers of fatalities given.",10,0,
6-Apr-16,2016,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Dhexe,Jilib,Jilib,0.4833,42.7666,Local Source Project,"Suspected American war planes conducted several air strikes against al Shabaab positions in Jilib town on the night of 06/04. Reports indicate the jets targeted al Shabaab logistic points and burnt unspecified numbers of weapons, food and fuel, besides one truck mounted with artillery was also reportedly destroyed at Kulanka shareecada (law gathering) point in the town. Any causalities were left unreported.",0,0,
6-Apr-16,2016,Remote violence,Unknown,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Buulo Gaduud,-0.074,42.5719,Local Source Project,Unidentified warplanes bombed several locations under the control of al Shabaab in the outskirts of Bulo Gudud Village (35km NW of Kismaayo) in the morning of 06/04. There have been some casualties according to the locals but the exact figures are yet to be established.,10,0,
6-Apr-16,2016,Remote violence,Unknown,Al Shabaab,Jubaland,Jubbada Hoose,Afmadow,Xagar,0.87,41.9753,Local Source Project,"Unidentified warplanes bombed al Shabaab base in Abdi Gooji, a grazing land near Xagar Village (49km E of Afmadow) in the morning of 06/04. There are no casualties reported at this stage.",0,0,
